invoice_no,customer_id,gender,age,category,price,payment_method,invoice_date,shopping_mall,Clothing,Shoes,Books,Cosmetics,Food & Beverage,Toys,Souvenir,Technology
I137794,C133687,Female,45,Food & Beverage,20,Debit Card,12/3/2021,Viaport Outlet,0,0,1,0,0,0,0,0
I148377,C841663,Female,29,Clothing,30,Cash,2/1/2022,Istinye Park,1,0,0,0,0,0,0,0
I258195,C213742,Male,43,Toys,25,Cash,26/11/2021,Kanyon,0,0,1,0,0,1,0,0
I300213,C962515,Female,19,Clothing,30,Credit Card,21/04/2021,Kanyon,1,0,0,0,1,0,0,0
I263803,C112279,Female,67,Food & Beverage,20,Cash,23/06/2021,Kanyon,0,0,0,0,0,0,0,0
I335713,C158837,Female,36,Books,15,Cash,14/12/2021,Kanyon,0,0,0,0,0,0,0,0
I133061,C336576,Male,64,Clothing,30,Credit Card,9/6/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I207205,C716161,Female,33,Clothing,30,Debit Card,26/11/2021,Kanyon,1,0,0,0,0,0,0,0
I209289,C439382,Female,33,Clothing,30,Credit Card,5/2/2021,Kanyon,1,0,0,0,0,0,0,0
I157285,C123427,Male,66,Clothing,30,Cash,6/3/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I218590,C224743,Female,29,Cosmetics,35,Debit Card,9/5/2022,Metropol AVM,0,0,1,1,0,0,0,0
I181109,C119549,Male,22,Toys,25,Cash,17/10/2022,Mall of Istanbul,0,0,0,0,1,1,0,0
I221715,C187266,Female,63,Food & Beverage,20,Cash,22/01/2022,Cevahir AVM,0,0,0,0,0,0,0,0
I204979,C173084,Female,24,Souvenir,27,Debit Card,14/03/2021,Istinye Park,0,0,0,0,0,0,1,0
I115146,C126956,Female,24,Cosmetics,35,Cash,27/04/2022,Metrocity,0,0,0,1,0,0,0,0
I883721,C236859,Female,44,Technology,50,Credit Card,19/11/2021,Mall of Istanbul,0,0,0,0,0,0,0,1
I402376,C309926,Male,34,Shoes,60,Cash,10/9/2022,Forum Istanbul,0,1,0,0,0,0,0,0
I251356,C493252,Female,47,Cosmetics,35,Cash,4/9/2021,Kanyon,0,0,0,1,1,0,0,0
I292239,C109871,Male,38,Food & Beverage,20,Cash,21/08/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I276526,C136117,Female,57,Shoes,60,Debit Card,2/10/2021,Emaar Square Mall,0,1,0,0,0,0,0,0
I260525,C258404,Male,67,Toys,25,Cash,7/1/2023,Emaar Square Mall,0,0,0,0,0,1,0,0
I870944,C169749,Male,41,Souvenir,27,Credit Card,8/6/2021,Cevahir AVM,0,0,0,0,0,0,1,0
I739573,C199947,Female,40,Clothing,30,Debit Card,17/04/2021,Kanyon,1,0,0,0,0,0,0,0
I115870,C135790,Female,69,Shoes,60,Cash,4/9/2021,Metrocity,0,1,0,0,1,0,0,0
I190444,C606418,Female,47,Food & Beverage,20,Cash,20/07/2022,Mall of Istanbul,0,0,0,0,1,0,0,0
I309552,C111611,Female,53,Food & Beverage,20,Credit Card,14/07/2021,Istinye Park,0,0,0,0,0,0,0,0
I306076,C679476,Male,40,Toys,25,Cash,1/11/2022,Emaar Square Mall,0,0,0,0,0,1,0,0
I321683,C542025,Male,60,Cosmetics,35,Credit Card,6/1/2023,Metrocity,0,0,0,1,0,0,0,0
I151332,C168491,Male,30,Souvenir,27,Cash,25/03/2021,Kanyon,0,0,0,0,0,0,1,0
I340014,C169650,Female,66,Clothing,30,Credit Card,8/9/2022,Istinye Park,1,0,0,0,1,0,0,0
I249424,C158160,Male,22,Food & Beverage,20,Cash,18/02/2022,Mall of Istanbul,0,0,0,0,1,0,0,0
I227716,C552345,Male,53,Food & Beverage,20,Cash,22/04/2021,Kanyon,0,0,0,0,0,0,0,0
I140663,C218383,Female,52,Clothing,30,Cash,15/10/2022,Zorlu Center,1,0,0,0,0,0,0,0
I253242,C309438,Male,26,Shoes,60,Cash,7/4/2022,Mall of Istanbul,0,1,0,0,1,0,0,0
I108359,C253905,Male,66,Food & Beverage,20,Cash,7/6/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I195567,C992677,Male,65,Clothing,30,Debit Card,22/01/2023,Metropol AVM,1,0,0,0,0,0,0,0
I289643,C584700,Female,43,Technology,50,Cash,22/08/2022,Kanyon,0,0,0,0,0,0,0,1
I722319,C157070,Female,59,Toys,25,Debit Card,3/10/2021,Kanyon,0,0,0,0,0,1,0,0
I317105,C177975,Female,30,Souvenir,27,Debit Card,29/07/2021,Kanyon,0,0,0,0,0,0,1,0
I215721,C830576,Female,25,Cosmetics,35,Debit Card,16/12/2022,Metrocity,0,0,0,1,0,0,0,0
I154469,C807389,Female,29,Toys,25,Debit Card,3/6/2021,Mall of Istanbul,0,0,0,0,0,1,0,0
I172458,C277842,Female,19,Clothing,30,Debit Card,17/12/2021,Cevahir AVM,1,0,0,0,0,0,0,0
I297270,C183011,Male,62,Clothing,30,Credit Card,31/12/2022,Metropol AVM,1,0,0,0,1,0,0,0
I153930,C567813,Male,39,Food & Beverage,20,Cash,9/8/2022,Forum Istanbul,0,0,0,0,0,0,0,0
I282854,C282974,Female,33,Clothing,30,Cash,31/07/2022,Kanyon,1,0,0,0,1,0,0,0
I869144,C181972,Female,26,Food & Beverage,20,Debit Card,4/5/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I283443,C189493,Male,43,Technology,50,Credit Card,25/05/2022,Viaport Outlet,0,0,0,0,1,0,0,1
I193271,C242748,Female,40,Food & Beverage,20,Debit Card,23/12/2022,Kanyon,0,0,0,0,0,0,0,0
I985478,C324683,Male,55,Clothing,30,Credit Card,24/01/2023,Kanyon,1,0,0,0,0,0,0,0
I200392,C307921,Female,24,Clothing,30,Credit Card,14/09/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I256691,C152549,Male,24,Cosmetics,35,Cash,4/2/2022,Metrocity,0,0,0,1,1,0,0,0
I796162,C111832,Female,30,Food & Beverage,20,Credit Card,6/1/2022,Metrocity,0,0,0,0,0,0,0,0
I224371,C204174,Male,34,Clothing,30,Credit Card,1/2/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I215998,C279370,Female,64,Clothing,30,Cash,26/10/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I338966,C907582,Female,57,Clothing,30,Cash,21/09/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I293215,C166635,Male,18,Cosmetics,35,Credit Card,12/12/2021,Istinye Park,0,0,0,1,0,0,0,0
I149688,C276043,Female,26,Clothing,30,Cash,21/08/2021,Zorlu Center,1,0,0,0,1,0,0,0
I109649,C282643,Female,19,Food & Beverage,20,Debit Card,8/10/2021,Emaar Square Mall,0,0,0,0,0,0,0,0
I299820,C820515,Female,22,Books,15,Cash,22/11/2021,Kanyon,0,0,0,0,0,0,0,0
I157775,C331761,Male,48,Clothing,30,Cash,19/03/2022,Kanyon,1,0,0,0,0,0,0,0
I317140,C326893,Female,56,Souvenir,27,Cash,19/10/2022,Istinye Park,0,0,0,0,0,0,1,0
I147334,C306395,Male,35,Clothing,30,Cash,12/1/2022,Viaport Outlet,1,0,0,0,0,0,0,0
I278121,C885344,Female,60,Toys,25,Debit Card,7/6/2021,Metrocity,0,0,0,0,0,1,0,0
I134452,C112750,Female,32,Clothing,30,Credit Card,15/01/2023,Forum Istanbul,1,0,1,0,0,0,0,0
I320846,C274870,Male,27,Clothing,30,Credit Card,11/11/2021,Kanyon,1,0,0,0,0,0,0,0
I740676,C199864,Female,56,Clothing,30,Credit Card,21/09/2022,Istinye Park,1,0,0,0,0,0,0,0
I142331,C997380,Male,35,Cosmetics,35,Debit Card,30/05/2021,Metrocity,0,0,0,1,0,0,0,0
I222983,C132002,Female,68,Clothing,30,Credit Card,23/12/2021,Metropol AVM,1,0,0,0,0,0,0,0
I164665,C255058,Female,64,Technology,50,Cash,30/04/2022,Kanyon,0,0,0,0,0,0,0,1
I133387,C271799,Female,60,Toys,25,Cash,7/6/2021,Forum Istanbul,0,0,0,0,0,1,0,0
I276763,C765620,Male,64,Toys,25,Debit Card,21/02/2022,Kanyon,0,0,0,0,0,1,0,0
I273890,C891545,Female,41,Clothing,30,Debit Card,26/08/2021,Emaar Square Mall,1,0,0,0,1,0,0,0
I774221,C519513,Male,30,Food & Beverage,20,Cash,15/12/2021,Metrocity,0,0,0,0,0,0,0,0
I202171,C125624,Male,40,Clothing,30,Debit Card,20/02/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I219780,C658980,Female,29,Clothing,30,Cash,8/10/2021,Kanyon,1,0,0,0,0,0,0,0
I160221,C319231,Male,25,Clothing,30,Cash,1/8/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I106691,C150594,Female,60,Clothing,30,Cash,9/9/2021,Kanyon,1,0,0,0,1,0,0,0
I129886,C846730,Female,42,Food & Beverage,20,Cash,25/10/2021,Metrocity,0,0,0,0,1,0,0,0
I745394,C249877,Male,54,Food & Beverage,20,Cash,14/12/2021,Metropol AVM,0,0,0,0,0,0,0,0
I157056,C200826,Female,50,Clothing,30,Cash,20/06/2021,Kanyon,1,0,0,0,0,0,0,0
I304531,C263874,Male,54,Clothing,30,Debit Card,7/4/2021,Metropol AVM,1,0,0,0,0,0,0,0
I762439,C663463,Female,45,Books,15,Cash,5/12/2021,Metrocity,0,0,0,0,0,0,0,0
I300972,C134370,Female,40,Cosmetics,35,Credit Card,25/05/2021,Zorlu Center,0,0,0,1,0,0,0,0
I151588,C310642,Male,24,Books,15,Credit Card,12/4/2022,Metrocity,0,0,0,0,0,0,0,0
I657069,C651699,Male,40,Clothing,30,Cash,16/12/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I122655,C989693,Female,32,Technology,50,Credit Card,21/02/2021,Metropol AVM,0,0,0,0,0,0,0,1
I236914,C123581,Female,28,Clothing,30,Cash,26/10/2021,Mall of Istanbul,1,0,1,0,0,0,0,0
I247471,C192446,Female,22,Toys,25,Cash,18/12/2022,Mall of Istanbul,0,0,0,0,0,1,0,0
I362306,C143343,Female,21,Clothing,30,Credit Card,19/09/2022,Metrocity,1,0,1,0,0,0,0,0
I215279,C223343,Female,31,Clothing,30,Credit Card,1/2/2023,Kanyon,1,0,0,0,1,0,0,0
I216061,C309082,Female,61,Food & Beverage,20,Credit Card,5/10/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I246375,C236365,Female,67,Cosmetics,35,Cash,28/11/2021,Kanyon,0,0,0,1,0,0,0,0
I103596,C178734,Male,52,Shoes,60,Cash,3/8/2021,Kanyon,0,1,0,0,0,0,0,0
I259878,C223010,Male,44,Clothing,30,Credit Card,12/10/2022,Metropol AVM,1,0,0,0,1,0,0,0
I206422,C289933,Female,48,Food & Beverage,20,Credit Card,28/09/2022,Kanyon,0,0,0,0,1,0,0,0
I201704,C340116,Female,53,Food & Beverage,20,Cash,12/7/2021,Metrocity,0,0,0,0,0,0,0,0
I168037,C816586,Male,27,Toys,25,Cash,3/7/2021,Mall of Istanbul,0,0,0,0,0,1,0,0
I307534,C434171,Female,28,Cosmetics,35,Cash,26/03/2022,Viaport Outlet,0,0,0,1,0,0,0,0
I259196,C215384,Female,43,Toys,25,Credit Card,17/05/2022,Cevahir AVM,0,0,0,0,0,1,0,0
I141241,C143442,Male,54,Souvenir,27,Credit Card,11/4/2022,Kanyon,0,0,0,0,1,0,1,0
I289973,C102926,Male,41,Food & Beverage,20,Credit Card,22/10/2021,Kanyon,0,0,0,0,0,0,0,0
I147203,C340063,Female,59,Cosmetics,35,Cash,20/12/2021,Istinye Park,0,0,0,1,0,0,0,0
I323788,C131786,Female,32,Clothing,30,Credit Card,17/03/2022,Metropol AVM,1,0,0,0,0,0,0,0
I285454,C194380,Female,41,Souvenir,27,Credit Card,23/06/2022,Metropol AVM,0,0,0,0,0,0,1,0
I288152,C269623,Female,30,Technology,50,Debit Card,19/06/2021,Mall of Istanbul,0,0,0,0,0,0,0,1
I134126,C847171,Male,22,Clothing,30,Debit Card,30/08/2022,Istinye Park,1,0,0,0,0,0,0,0
I311052,C556552,Female,51,Clothing,30,Cash,20/11/2021,Cevahir AVM,1,0,0,0,1,0,0,0
I176469,C876528,Female,23,Food & Beverage,20,Credit Card,31/07/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I167993,C303493,Male,40,Toys,25,Cash,20/02/2022,Kanyon,0,0,0,0,0,1,0,0
I222086,C978718,Male,37,Clothing,30,Cash,9/2/2023,Emaar Square Mall,1,0,0,0,0,0,0,0
I164597,C111766,Female,24,Clothing,30,Cash,24/03/2021,Mall of Istanbul,1,0,0,0,1,0,0,0
I184307,C175946,Male,22,Food & Beverage,20,Credit Card,25/08/2022,Kanyon,0,0,0,0,0,0,0,0
I289905,C160005,Female,61,Cosmetics,35,Cash,21/10/2021,Kanyon,0,0,0,1,1,0,0,0
I416544,C599109,Female,25,Food & Beverage,20,Credit Card,28/05/2022,Metrocity,0,0,0,0,0,0,0,0
I601026,C693789,Female,66,Souvenir,27,Credit Card,5/3/2022,Zorlu Center,0,0,0,0,0,0,1,0
I257890,C259342,Female,59,Shoes,60,Cash,5/10/2021,Kanyon,0,1,0,0,0,0,0,0
I260028,C208108,Male,38,Clothing,30,Cash,16/04/2021,Metropol AVM,1,0,0,0,0,0,0,0
I170160,C244213,Male,34,Toys,25,Debit Card,26/02/2023,Metrocity,0,0,0,0,0,1,0,0
I624164,C102685,Female,26,Clothing,30,Cash,20/03/2021,Kanyon,1,0,0,0,0,0,0,0
I143353,C244291,Female,59,Souvenir,27,Cash,15/05/2022,Metrocity,0,0,0,0,0,0,1,0
I278401,C162371,Female,53,Toys,25,Debit Card,31/01/2023,Mall of Istanbul,0,0,0,0,0,1,0,0
I402966,C375422,Male,23,Cosmetics,35,Debit Card,2/10/2021,Viaport Outlet,0,0,0,1,0,0,0,0
I244241,C911768,Female,23,Clothing,30,Credit Card,3/8/2022,Viaport Outlet,1,0,0,0,0,0,0,0
I179048,C270129,Female,66,Technology,50,Debit Card,28/03/2021,Cevahir AVM,0,0,0,0,0,0,0,1
I165202,C617189,Female,56,Cosmetics,35,Cash,21/11/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I328321,C271029,Female,38,Souvenir,27,Credit Card,12/2/2021,Metropol AVM,0,0,0,0,0,0,1,0
I417106,C292356,Male,28,Clothing,30,Cash,3/4/2021,Cevahir AVM,1,0,0,0,1,0,0,0
I248153,C329633,Female,44,Food & Beverage,20,Cash,3/7/2022,Metropol AVM,0,0,0,0,1,0,0,0
I112270,C244780,Female,26,Food & Beverage,20,Cash,14/02/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I318831,C139568,Female,41,Cosmetics,35,Credit Card,15/07/2022,Viaport Outlet,0,0,0,1,0,0,0,0
I258322,C220281,Male,50,Clothing,30,Cash,12/7/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I334246,C311034,Female,23,Cosmetics,35,Cash,19/05/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I198233,C584141,Female,31,Cosmetics,35,Cash,13/02/2023,Metropol AVM,0,0,0,1,0,0,0,0
I310819,C221934,Male,26,Cosmetics,35,Credit Card,27/11/2022,Forum Istanbul,0,0,0,1,1,0,0,0
I409288,C513561,Female,56,Food & Beverage,20,Cash,2/3/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I131054,C257990,Female,34,Toys,25,Cash,16/10/2021,Kanyon,0,0,0,0,0,1,0,0
I149521,C168348,Female,29,Clothing,30,Cash,4/11/2021,Kanyon,1,0,0,0,0,0,0,0
I156233,C161285,Female,20,Clothing,30,Credit Card,11/1/2023,Mall of Istanbul,1,0,0,0,0,0,0,0
I295784,C166191,Female,54,Cosmetics,35,Credit Card,8/6/2022,Forum Istanbul,0,0,0,1,0,0,0,0
I255381,C172966,Male,40,Clothing,30,Debit Card,24/05/2021,Metrocity,1,0,0,0,0,0,0,0
I337719,C320928,Male,40,Cosmetics,35,Cash,18/01/2021,Istinye Park,0,0,0,1,0,0,0,0
I220863,C131497,Male,21,Books,15,Cash,22/07/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I530401,C526660,Female,32,Technology,50,Cash,25/09/2022,Zorlu Center,0,0,0,0,0,0,0,1
I219555,C266961,Male,47,Clothing,30,Credit Card,10/9/2021,Metrocity,1,0,0,0,0,0,0,0
I316629,C204741,Female,41,Souvenir,27,Cash,16/01/2022,Cevahir AVM,0,0,0,0,0,0,1,0
I795251,C181619,Male,33,Cosmetics,35,Cash,13/11/2022,Kanyon,0,0,0,1,0,0,0,0
I151099,C250395,Female,67,Souvenir,27,Credit Card,14/03/2021,Mall of Istanbul,0,0,1,0,0,0,1,0
I286193,C322994,Male,37,Cosmetics,35,Cash,23/07/2022,Istinye Park,0,0,0,1,0,0,0,0
I399563,C250673,Female,38,Toys,25,Cash,24/06/2021,Metropol AVM,0,0,0,0,0,1,0,0
I229355,C192978,Male,28,Shoes,60,Credit Card,30/01/2021,Kanyon,0,1,0,0,0,0,0,0
I147727,C163033,Female,38,Books,15,Credit Card,17/04/2022,Kanyon,0,0,0,0,0,0,0,0
I504141,C558480,Female,56,Cosmetics,35,Credit Card,23/02/2023,Kanyon,0,0,0,1,0,0,0,0
I246151,C287409,Male,25,Books,15,Debit Card,5/7/2021,Metropol AVM,0,0,0,0,0,0,0,0
I164675,C993675,Male,66,Books,15,Cash,31/08/2021,Kanyon,0,0,0,0,0,0,0,0
I606511,C307535,Female,37,Souvenir,27,Credit Card,9/9/2022,Viaport Outlet,0,0,0,0,1,0,1,0
I342816,C238961,Female,19,Food & Beverage,20,Cash,4/11/2021,Mall of Istanbul,0,0,1,0,0,0,0,0
I151764,C671866,Female,53,Clothing,30,Cash,30/06/2022,Kanyon,1,0,0,0,0,0,0,0
I226172,C171154,Female,69,Shoes,60,Cash,24/07/2021,Kanyon,0,1,1,0,0,0,0,0
I737630,C848969,Male,69,Clothing,30,Cash,15/04/2022,Metropol AVM,1,0,1,0,1,0,0,0
I891311,C240171,Female,31,Food & Beverage,20,Debit Card,25/09/2021,Metropol AVM,0,0,0,0,0,0,0,0
I127733,C665777,Male,39,Books,15,Cash,24/08/2021,Kanyon,0,0,0,0,0,0,0,0
I202398,C256730,Male,53,Shoes,60,Cash,26/01/2021,Zorlu Center,0,1,0,0,0,0,0,0
I160585,C298229,Male,26,Cosmetics,35,Cash,5/2/2022,Metropol AVM,0,0,0,1,1,0,0,0
I771414,C183404,Male,63,Food & Beverage,20,Cash,9/12/2022,Forum Istanbul,0,0,0,0,0,0,0,0
I139520,C316398,Female,34,Clothing,30,Cash,14/02/2021,Mall of Istanbul,1,0,0,0,1,0,0,0
I291540,C557245,Male,25,Food & Beverage,20,Debit Card,17/07/2022,Kanyon,0,0,1,0,0,0,0,0
I798213,C662958,Female,20,Shoes,60,Cash,3/1/2021,Metropol AVM,0,1,0,0,0,0,0,0
I232338,C545065,Female,18,Clothing,30,Debit Card,22/09/2022,Metropol AVM,1,0,0,0,0,0,0,0
I267713,C284679,Male,53,Cosmetics,35,Credit Card,27/06/2021,Kanyon,0,0,0,1,0,0,0,0
I525798,C581947,Male,46,Cosmetics,35,Cash,3/2/2023,Mall of Istanbul,0,0,0,1,0,0,0,0
I353272,C199311,Female,34,Clothing,30,Credit Card,29/07/2021,Istinye Park,1,0,0,0,0,0,0,0
I165687,C206501,Female,61,Clothing,30,Cash,8/12/2022,Metropol AVM,1,0,0,0,0,0,0,0
I169015,C726021,Female,38,Clothing,30,Credit Card,11/8/2022,Mall of Istanbul,1,0,0,0,1,0,0,0
I111305,C448846,Female,67,Food & Beverage,20,Cash,13/09/2021,Metropol AVM,0,0,0,0,0,0,0,0
I187171,C168663,Male,33,Toys,25,Credit Card,27/05/2022,Istinye Park,0,0,0,0,0,1,0,0
I148276,C616106,Female,63,Clothing,30,Debit Card,7/12/2022,Zorlu Center,1,0,0,0,0,0,0,0
I783231,C771066,Female,21,Clothing,30,Debit Card,5/1/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I313426,C101196,Female,41,Cosmetics,35,Debit Card,5/4/2022,Kanyon,0,0,0,1,1,0,0,0
I112291,C898405,Female,48,Food & Beverage,20,Credit Card,10/1/2022,Cevahir AVM,0,0,0,0,0,0,0,0
I402983,C372643,Male,27,Technology,50,Debit Card,30/01/2022,Kanyon,0,0,0,0,0,0,0,1
I155076,C195626,Female,22,Toys,25,Credit Card,21/12/2022,Kanyon,0,0,0,0,0,1,0,0
I204056,C622748,Female,54,Clothing,30,Credit Card,24/02/2021,Metropol AVM,1,0,0,0,0,0,0,0
I218385,C290280,Female,51,Toys,25,Cash,19/07/2022,Metrocity,0,0,0,0,0,1,0,0
I198698,C281268,Female,29,Clothing,30,Debit Card,15/01/2023,Metropol AVM,1,0,0,0,0,0,0,0
I428118,C826744,Female,44,Shoes,60,Credit Card,12/1/2023,Kanyon,0,1,0,0,0,0,0,0
I204147,C252021,Female,20,Shoes,60,Credit Card,5/11/2022,Kanyon,0,1,0,0,0,0,0,0
I361028,C647656,Female,59,Shoes,60,Cash,23/07/2021,Metrocity,0,1,0,0,0,0,0,0
I915945,C250065,Female,23,Clothing,30,Credit Card,30/06/2022,Metropol AVM,1,0,0,0,0,0,0,0
I165461,C230766,Female,25,Clothing,30,Credit Card,1/11/2022,Emaar Square Mall,1,0,0,0,0,0,0,0
I762381,C243515,Male,63,Shoes,60,Cash,27/10/2022,Kanyon,0,1,0,0,0,0,0,0
I818298,C204632,Male,21,Clothing,30,Debit Card,21/08/2022,Kanyon,1,0,0,0,0,0,0,0
I261290,C252598,Female,56,Clothing,30,Credit Card,13/03/2021,Cevahir AVM,1,0,0,0,0,0,0,0
