Transaction,date_time,period_day,weekday_weekend,Bread,Scandinavian,Hot chocolate,Jam,Cookies,Muffin,Coffee,Soup,Cake,Juice
19,30-10-2016 10:43,morning,weekend,0,1,1,0,0,0,0,0,1,1
19,30-10-2016 10:43,morning,weekend,0,1,1,0,1,0,1,1,1,1
20,30-10-2016 10:45,morning,weekend,0,0,0,1,0,1,0,0,0,0
20,30-10-2016 10:45,morning,weekend,1,1,0,1,0,0,1,1,0,0
21,30-10-2016 10:49,morning,weekend,1,0,1,1,0,0,0,1,0,0
21,30-10-2016 10:49,morning,weekend,1,1,1,1,1,1,1,1,1,0
21,30-10-2016 10:49,morning,weekend,0,0,1,0,0,1,1,0,0,0
21,30-10-2016 10:49,morning,weekend,1,1,1,0,0,0,1,1,0,0
22,30-10-2016 10:52,morning,weekend,1,1,0,0,0,1,1,1,1,1
23,30-10-2016 10:53,morning,weekend,0,0,1,0,0,0,1,1,1,0
23,30-10-2016 10:53,morning,weekend,0,0,0,1,0,1,1,1,0,1
24,30-10-2016 10:54,morning,weekend,0,1,0,0,0,0,1,0,0,0
25,30-10-2016 10:55,morning,weekend,0,1,0,1,1,1,1,1,0,0
26,30-10-2016 10:56,morning,weekend,1,0,1,0,1,0,1,1,1,1
27,30-10-2016 11:02,morning,weekend,0,0,0,0,0,0,0,1,0,0
28,30-10-2016 11:03,morning,weekend,0,1,1,1,0,0,0,0,1,1
28,30-10-2016 11:03,morning,weekend,0,0,0,0,1,0,0,1,0,0
29,30-10-2016 11:05,morning,weekend,1,1,1,1,1,0,1,1,1,1
29,30-10-2016 11:05,morning,weekend,1,1,0,1,0,0,0,0,1,1
30,30-10-2016 11:07,morning,weekend,0,1,1,1,0,1,0,0,0,0
31,30-10-2016 11:12,morning,weekend,0,1,0,0,1,0,0,1,1,0
32,30-10-2016 11:16,morning,weekend,1,0,1,1,1,0,0,0,1,0
32,30-10-2016 11:16,morning,weekend,1,0,0,0,0,1,1,1,1,1
33,30-10-2016 11:22,morning,weekend,1,0,1,1,0,0,1,1,1,0
34,30-10-2016 11:25,morning,weekend,0,0,1,0,0,0,1,1,1,0
34,30-10-2016 11:25,morning,weekend,1,1,1,0,0,0,0,1,0,0
35,30-10-2016 11:27,morning,weekend,1,1,1,0,0,0,0,0,1,0
35,30-10-2016 11:27,morning,weekend,1,1,1,0,0,0,0,0,1,1
36,30-10-2016 11:33,morning,weekend,1,0,1,1,1,1,1,1,0,0
36,30-10-2016 11:33,morning,weekend,1,0,1,0,0,0,0,1,1,1
37,30-10-2016 11:37,morning,weekend,1,0,0,1,1,0,0,0,0,0
37,30-10-2016 11:37,morning,weekend,0,0,1,1,1,1,1,0,0,0
38,30-10-2016 11:42,morning,weekend,1,0,0,1,0,1,1,0,1,1
38,30-10-2016 11:42,morning,weekend,1,1,1,0,1,0,0,0,1,0
39,30-10-2016 11:44,morning,weekend,1,0,1,1,0,0,1,0,0,0
40,30-10-2016 11:55,morning,weekend,0,1,1,0,1,1,0,0,1,0
40,30-10-2016 11:55,morning,weekend,0,0,1,1,0,0,1,1,1,1
40,30-10-2016 11:55,morning,weekend,0,0,1,1,1,0,0,0,0,1
40,30-10-2016 11:55,morning,weekend,0,0,1,1,0,1,0,0,1,0
41,30-10-2016 11:57,morning,weekend,0,0,0,1,1,1,0,1,0,0
42,30-10-2016 11:57,morning,weekend,0,0,0,0,1,1,0,0,0,1
42,30-10-2016 11:57,morning,weekend,0,0,1,0,0,0,0,1,1,1
43,30-10-2016 12:00,afternoon,weekend,0,1,0,1,0,1,1,1,1,1
43,30-10-2016 12:00,afternoon,weekend,0,0,0,1,1,1,0,0,1,0
44,30-10-2016 12:05,afternoon,weekend,1,1,1,0,1,0,0,1,1,0
44,30-10-2016 12:05,afternoon,weekend,0,0,0,1,0,1,1,0,1,1
45,30-10-2016 12:08,afternoon,weekend,1,0,1,0,0,1,0,0,0,0
45,30-10-2016 12:08,afternoon,weekend,1,0,0,1,0,1,1,0,0,1
45,30-10-2016 12:08,afternoon,weekend,0,0,0,1,0,1,0,0,1,0
46,30-10-2016 12:09,afternoon,weekend,0,0,1,0,1,1,0,1,1,0
47,30-10-2016 12:15,afternoon,weekend,0,0,1,0,1,0,1,1,1,0
47,30-10-2016 12:15,afternoon,weekend,1,0,1,0,0,1,1,0,1,0
47,30-10-2016 12:15,afternoon,weekend,0,1,1,1,1,0,0,0,0,0
47,30-10-2016 12:15,afternoon,weekend,0,0,1,0,0,1,0,0,0,1
47,30-10-2016 12:15,afternoon,weekend,1,1,0,1,1,0,0,1,1,0
48,30-10-2016 12:17,afternoon,weekend,0,0,0,0,0,0,1,1,0,1
49,30-10-2016 12:23,afternoon,weekend,0,0,1,1,1,0,1,0,1,1
49,30-10-2016 12:23,afternoon,weekend,1,1,1,1,0,0,1,0,0,1
49,30-10-2016 12:23,afternoon,weekend,1,0,1,0,0,0,1,0,0,0
50,30-10-2016 12:25,afternoon,weekend,0,1,1,0,1,0,0,0,0,0
50,30-10-2016 12:25,afternoon,weekend,0,0,0,0,0,0,0,1,1,0
51,30-10-2016 12:26,afternoon,weekend,1,0,0,0,0,0,1,0,0,1
52,30-10-2016 12:28,afternoon,weekend,1,1,1,1,0,0,1,1,1,0
54,30-10-2016 12:33,afternoon,weekend,0,0,1,0,1,1,1,1,1,1
55,30-10-2016 12:38,afternoon,weekend,1,1,0,0,1,1,1,1,0,0
55,30-10-2016 12:38,afternoon,weekend,1,1,1,1,1,0,1,0,1,0
55,30-10-2016 12:38,afternoon,weekend,1,0,1,0,0,1,1,1,1,1
55,30-10-2016 12:38,afternoon,weekend,1,0,1,1,1,1,1,0,1,0
56,30-10-2016 12:39,afternoon,weekend,0,0,0,0,0,1,0,0,0,0
56,30-10-2016 12:39,afternoon,weekend,1,1,1,1,1,1,1,1,0,0
57,30-10-2016 12:45,afternoon,weekend,0,1,0,0,1,1,0,1,0,0
58,30-10-2016 12:59,afternoon,weekend,1,1,1,1,1,1,0,1,1,1
58,30-10-2016 12:59,afternoon,weekend,1,0,1,1,0,1,1,0,1,1
58,30-10-2016 12:59,afternoon,weekend,1,1,0,1,0,1,0,0,1,0
58,30-10-2016 12:59,afternoon,weekend,1,1,1,0,0,1,1,0,0,1
59,30-10-2016 13:02,afternoon,weekend,0,1,0,1,0,0,1,0,1,0
60,30-10-2016 13:14,afternoon,weekend,1,0,0,1,1,1,0,0,1,1
60,30-10-2016 13:14,afternoon,weekend,1,1,1,1,0,1,0,0,0,1
60,30-10-2016 13:14,afternoon,weekend,1,0,1,1,1,1,1,0,0,1
60,30-10-2016 13:14,afternoon,weekend,1,0,1,0,1,0,1,0,0,0
61,30-10-2016 13:15,afternoon,weekend,0,0,0,1,1,0,0,1,1,0
62,30-10-2016 13:24,afternoon,weekend,1,0,1,1,1,1,0,1,0,0
62,30-10-2016 13:24,afternoon,weekend,1,1,1,0,0,1,0,0,0,1
62,30-10-2016 13:24,afternoon,weekend,0,0,1,1,1,1,0,0,0,1
62,30-10-2016 13:24,afternoon,weekend,1,1,0,1,0,0,1,0,0,0
62,30-10-2016 13:24,afternoon,weekend,1,1,1,0,1,1,1,1,0,0
62,30-10-2016 13:24,afternoon,weekend,1,0,0,1,0,0,1,1,1,1
63,30-10-2016 13:33,afternoon,weekend,0,0,0,1,1,0,1,0,1,0
64,30-10-2016 13:34,afternoon,weekend,1,0,1,1,1,1,0,0,0,1
65,30-10-2016 13:37,afternoon,weekend,1,1,1,0,0,1,0,0,0,1
65,30-10-2016 13:37,afternoon,weekend,0,0,1,1,0,1,1,1,1,1
65,30-10-2016 13:37,afternoon,weekend,1,1,1,0,0,0,1,0,1,1
65,30-10-2016 13:37,afternoon,weekend,0,0,1,1,1,1,0,1,0,0
66,30-10-2016 13:40,afternoon,weekend,1,1,0,0,0,0,0,0,0,0
66,30-10-2016 13:40,afternoon,weekend,1,1,0,1,1,1,0,0,0,1
66,30-10-2016 13:40,afternoon,weekend,1,1,0,1,1,1,0,0,0,0
67,30-10-2016 13:46,afternoon,weekend,0,0,0,0,1,0,0,1,1,0
67,30-10-2016 13:46,afternoon,weekend,1,1,0,0,1,1,0,1,0,1
67,30-10-2016 13:46,afternoon,weekend,0,0,1,0,1,1,0,0,1,0
68,30-10-2016 13:49,afternoon,weekend,0,1,0,0,1,0,1,1,1,0
68,30-10-2016 13:49,afternoon,weekend,0,0,1,0,0,1,1,0,0,1
68,30-10-2016 13:49,afternoon,weekend,0,1,1,1,0,1,0,0,0,1
68,30-10-2016 13:49,afternoon,weekend,1,0,1,1,1,0,0,1,0,0
68,30-10-2016 13:49,afternoon,weekend,0,0,0,1,1,0,1,0,0,0
69,30-10-2016 13:51,afternoon,weekend,0,0,0,1,0,0,0,0,1,1
69,30-10-2016 13:51,afternoon,weekend,1,0,1,0,1,0,0,0,1,1
69,30-10-2016 13:51,afternoon,weekend,1,0,0,0,1,1,0,1,1,0
70,30-10-2016 13:54,afternoon,weekend,0,1,1,0,1,1,1,0,1,0
71,30-10-2016 13:56,afternoon,weekend,1,1,0,0,1,0,1,0,1,0
72,30-10-2016 14:21,afternoon,weekend,0,0,0,1,1,1,1,0,0,0
72,30-10-2016 14:21,afternoon,weekend,0,0,1,0,1,0,0,1,0,0
73,30-10-2016 14:22,afternoon,weekend,1,1,1,1,1,0,1,1,1,0
74,30-10-2016 14:24,afternoon,weekend,0,1,1,0,1,1,1,0,1,0
74,30-10-2016 14:24,afternoon,weekend,1,0,0,1,0,1,0,0,0,0
75,30-10-2016 14:32,afternoon,weekend,1,1,0,0,0,1,0,1,1,0
75,30-10-2016 14:32,afternoon,weekend,0,1,1,0,0,1,0,0,1,0
76,30-10-2016 14:32,afternoon,weekend,1,0,0,0,1,0,0,0,0,0
77,30-10-2016 14:35,afternoon,weekend,0,1,0,0,0,1,1,0,0,0
78,30-10-2016 14:42,afternoon,weekend,1,1,0,0,1,1,0,1,0,0
79,30-10-2016 14:45,afternoon,weekend,1,1,1,1,0,0,1,1,1,0
79,30-10-2016 14:45,afternoon,weekend,0,0,0,1,1,0,0,1,0,0
79,30-10-2016 14:45,afternoon,weekend,0,0,1,1,1,0,0,0,1,1
79,30-10-2016 14:45,afternoon,weekend,1,0,0,1,1,1,1,1,1,0
80,30-10-2016 14:48,afternoon,weekend,0,1,0,1,0,1,1,0,1,0
80,30-10-2016 14:48,afternoon,weekend,1,1,1,0,0,1,0,0,1,0
80,30-10-2016 14:48,afternoon,weekend,0,0,1,1,1,1,0,0,1,0
81,31-10-2016 08:28,morning,weekday,0,1,0,0,0,0,1,1,1,0
81,31-10-2016 08:28,morning,weekday,0,0,0,0,0,1,1,0,0,0
82,31-10-2016 08:47,morning,weekday,1,1,0,1,1,1,0,0,0,0
82,31-10-2016 08:47,morning,weekday,0,1,1,0,1,1,1,1,0,0
83,31-10-2016 08:57,morning,weekday,1,0,0,0,0,1,0,0,1,1
83,31-10-2016 08:57,morning,weekday,0,1,0,1,1,0,1,0,1,1
84,31-10-2016 09:04,morning,weekday,0,0,0,0,0,0,0,0,0,1
85,31-10-2016 09:10,morning,weekday,1,0,1,0,1,0,0,0,1,1
85,31-10-2016 09:10,morning,weekday,1,1,1,0,1,0,1,0,1,0
85,31-10-2016 09:10,morning,weekday,0,0,1,1,0,1,1,1,1,0
85,31-10-2016 09:10,morning,weekday,0,0,0,0,0,1,1,1,1,0
86,31-10-2016 09:11,morning,weekday,0,1,0,1,0,1,1,1,1,0
87,31-10-2016 09:12,morning,weekday,0,0,1,0,0,0,0,0,0,1
88,31-10-2016 09:16,morning,weekday,0,0,0,0,1,0,1,0,1,0
88,31-10-2016 09:16,morning,weekday,0,1,1,1,0,0,0,0,1,1
88,31-10-2016 09:16,morning,weekday,0,1,0,0,0,0,1,0,1,1
89,31-10-2016 09:19,morning,weekday,0,0,0,0,0,1,0,0,0,1
90,31-10-2016 09:20,morning,weekday,0,0,1,0,1,0,1,0,1,1
90,31-10-2016 09:20,morning,weekday,1,0,1,0,0,0,1,0,1,1
91,31-10-2016 09:22,morning,weekday,1,0,1,1,1,0,1,1,1,0
92,31-10-2016 09:27,morning,weekday,1,0,0,0,0,0,0,1,0,1
93,31-10-2016 09:29,morning,weekday,1,1,1,1,0,1,1,1,0,0
93,31-10-2016 09:29,morning,weekday,1,1,1,0,1,1,0,0,1,0
94,31-10-2016 09:39,morning,weekday,0,0,1,0,0,1,1,0,1,1
94,31-10-2016 09:39,morning,weekday,1,1,1,0,0,1,1,1,1,1
95,31-10-2016 09:43,morning,weekday,1,0,0,0,1,1,0,0,0,0
95,31-10-2016 09:43,morning,weekday,0,0,0,1,1,1,0,1,1,0
95,31-10-2016 09:43,morning,weekday,0,1,1,0,1,0,1,1,1,1
96,31-10-2016 09:46,morning,weekday,0,0,0,1,0,0,1,0,1,1
96,31-10-2016 09:46,morning,weekday,1,0,0,0,0,1,1,0,1,0
96,31-10-2016 09:46,morning,weekday,1,0,1,0,1,0,1,0,1,0
96,31-10-2016 09:46,morning,weekday,1,1,0,0,1,1,0,0,0,1
97,31-10-2016 09:51,morning,weekday,0,0,1,0,0,0,1,0,0,0
97,31-10-2016 09:51,morning,weekday,0,1,0,1,1,0,0,1,1,1
97,31-10-2016 09:51,morning,weekday,0,1,0,1,1,1,1,0,1,1
98,31-10-2016 09:52,morning,weekday,0,0,1,1,0,0,1,0,0,1
99,31-10-2016 09:56,morning,weekday,1,0,1,1,1,1,0,0,0,0
99,31-10-2016 09:56,morning,weekday,0,0,0,0,1,0,0,1,0,0
99,31-10-2016 09:56,morning,weekday,1,1,1,0,1,1,1,0,0,1
99,31-10-2016 09:56,morning,weekday,1,1,1,1,1,1,1,0,1,0
100,31-10-2016 09:58,morning,weekday,0,1,1,1,0,1,0,0,1,0
101,31-10-2016 10:04,morning,weekday,0,0,1,0,1,1,1,1,0,1
101,31-10-2016 10:04,morning,weekday,0,1,0,1,1,0,0,0,0,0
102,31-10-2016 10:04,morning,weekday,1,1,0,0,0,1,1,1,0,0
103,31-10-2016 10:07,morning,weekday,1,0,0,1,1,0,1,1,1,0
104,31-10-2016 10:12,morning,weekday,1,0,1,0,1,0,0,0,0,0
104,31-10-2016 10:12,morning,weekday,1,1,0,1,1,1,1,1,0,1
104,31-10-2016 10:12,morning,weekday,1,1,1,0,0,1,0,0,0,1
104,31-10-2016 10:12,morning,weekday,1,1,0,0,0,0,1,1,0,1
104,31-10-2016 10:12,morning,weekday,1,1,0,1,1,1,1,1,1,0
105,31-10-2016 10:21,morning,weekday,1,0,1,1,1,0,0,1,0,1
105,31-10-2016 10:21,morning,weekday,0,1,0,1,0,0,0,0,1,1
105,31-10-2016 10:21,morning,weekday,0,0,0,1,0,0,1,0,0,0
106,31-10-2016 10:24,morning,weekday,0,0,1,1,1,1,0,0,1,0
106,31-10-2016 10:24,morning,weekday,1,0,0,0,0,1,1,1,0,1
106,31-10-2016 10:24,morning,weekday,0,1,1,0,1,0,1,0,1,1
106,31-10-2016 10:24,morning,weekday,1,1,1,1,0,1,1,1,0,0
107,31-10-2016 10:27,morning,weekday,0,0,1,1,1,1,1,1,1,1
107,31-10-2016 10:27,morning,weekday,0,0,0,1,1,1,1,1,0,1
108,31-10-2016 10:31,morning,weekday,0,0,1,0,1,1,1,0,1,1
108,31-10-2016 10:31,morning,weekday,0,0,1,1,1,1,1,1,1,1
109,31-10-2016 10:35,morning,weekday,0,0,1,1,1,0,0,0,0,0
109,31-10-2016 10:35,morning,weekday,0,0,0,0,0,1,0,0,0,0
109,31-10-2016 10:35,morning,weekday,0,1,0,1,1,0,1,0,0,0
110,31-10-2016 10:36,morning,weekday,0,0,0,1,0,0,1,0,0,0
111,31-10-2016 10:38,morning,weekday,1,0,0,1,0,0,1,1,0,1
112,31-10-2016 10:59,morning,weekday,0,0,0,0,0,1,1,0,0,0
113,31-10-2016 11:02,morning,weekday,0,1,1,0,1,1,0,1,0,1
113,31-10-2016 11:02,morning,weekday,1,0,0,1,0,1,0,0,0,0
114,31-10-2016 11:05,morning,weekday,0,1,1,0,0,1,1,0,1,1
115,31-10-2016 11:08,morning,weekday,1,1,0,1,1,0,1,1,0,1
116,31-10-2016 11:11,morning,weekday,0,0,0,1,1,0,0,1,1,0
117,31-10-2016 11:13,morning,weekday,0,0,1,1,0,1,0,0,1,1
117,31-10-2016 11:13,morning,weekday,0,0,0,0,0,1,1,0,0,0
117,31-10-2016 11:13,morning,weekday,0,0,0,0,0,0,0,0,1,1
117,31-10-2016 11:13,morning,weekday,1,0,0,0,1,1,1,0,0,1
118,31-10-2016 11:18,morning,weekday,1,0,1,0,0,1,1,0,1,1
118,31-10-2016 11:18,morning,weekday,0,0,0,1,1,1,0,1,1,1
118,31-10-2016 11:18,morning,weekday,0,1,0,0,0,0,1,0,0,0
118,31-10-2016 11:18,morning,weekday,0,0,1,0,1,0,1,1,1,0
119,31-10-2016 11:25,morning,weekday,0,0,1,0,0,0,0,0,1,1
119,31-10-2016 11:25,morning,weekday,0,0,1,1,0,1,1,0,1,0
119,31-10-2016 11:25,morning,weekday,1,1,0,1,1,1,0,0,1,0
120,31-10-2016 11:29,morning,weekday,1,1,1,1,1,0,0,1,0,1
121,31-10-2016 11:30,morning,weekday,1,0,0,1,1,0,1,1,1,0
121,31-10-2016 11:30,morning,weekday,1,1,1,0,1,0,1,1,0,0
122,31-10-2016 11:37,morning,weekday,1,1,1,0,1,1,0,0,1,0
123,31-10-2016 11:42,morning,weekday,0,0,1,1,0,0,0,0,0,1
123,31-10-2016 11:42,morning,weekday,1,0,0,0,1,1,0,1,1,1
123,31-10-2016 11:42,morning,weekday,1,0,1,1,0,1,1,0,0,0
123,31-10-2016 11:42,morning,weekday,0,0,0,1,0,0,0,1,1,1
124,31-10-2016 11:43,morning,weekday,0,1,1,1,1,1,0,1,0,0
124,31-10-2016 11:43,morning,weekday,0,0,1,1,0,1,1,1,1,1
125,31-10-2016 11:47,morning,weekday,1,1,1,1,1,1,1,0,1,1
126,31-10-2016 11:52,morning,weekday,0,1,0,0,0,1,0,1,1,0
126,31-10-2016 11:52,morning,weekday,0,0,1,0,1,1,1,1,1,1
127,31-10-2016 11:53,morning,weekday,0,1,1,1,0,1,0,1,1,1
128,31-10-2016 11:55,morning,weekday,1,0,1,1,1,1,0,1,0,0
128,31-10-2016 11:55,morning,weekday,1,0,1,1,1,1,0,1,1,1
128,31-10-2016 11:55,morning,weekday,1,0,1,0,1,1,0,0,0,0
129,31-10-2016 11:59,morning,weekday,0,0,1,0,0,0,0,1,0,0
129,31-10-2016 11:59,morning,weekday,0,0,1,1,1,1,0,1,0,0
129,31-10-2016 11:59,morning,weekday,0,1,1,0,0,1,0,0,0,1
130,31-10-2016 12:03,afternoon,weekday,1,0,1,0,0,1,0,0,1,1
130,31-10-2016 12:03,afternoon,weekday,0,1,0,0,0,1,0,0,0,0
130,31-10-2016 12:03,afternoon,weekday,1,0,0,0,1,0,1,0,1,1
131,31-10-2016 12:08,afternoon,weekday,1,0,0,0,1,1,1,0,1,0
131,31-10-2016 12:08,afternoon,weekday,0,1,1,0,1,1,0,1,0,0
132,31-10-2016 12:14,afternoon,weekday,1,0,0,0,1,0,0,0,1,0
132,31-10-2016 12:14,afternoon,weekday,0,0,1,1,1,1,1,0,1,0
132,31-10-2016 12:14,afternoon,weekday,0,0,1,0,0,0,0,1,0,0
132,31-10-2016 12:14,afternoon,weekday,1,1,1,1,0,0,1,0,1,0
133,31-10-2016 12:16,afternoon,weekday,1,1,0,0,0,1,1,0,0,0
133,31-10-2016 12:16,afternoon,weekday,1,0,0,0,1,1,1,0,1,1
134,31-10-2016 12:19,afternoon,weekday,1,0,1,0,0,0,0,1,1,0
134,31-10-2016 12:19,afternoon,weekday,1,1,1,0,1,0,0,1,1,0
134,31-10-2016 12:19,afternoon,weekday,1,1,1,0,0,0,0,1,0,0
135,31-10-2016 12:20,afternoon,weekday,1,1,1,1,1,0,0,1,0,0
136,31-10-2016 12:27,afternoon,weekday,0,1,0,1,0,1,0,1,0,0
136,31-10-2016 12:27,afternoon,weekday,1,0,0,1,1,1,1,0,0,0
137,31-10-2016 12:37,afternoon,weekday,0,0,1,1,0,1,0,1,1,1
138,31-10-2016 12:43,afternoon,weekday,0,1,0,1,1,1,0,0,1,0
138,31-10-2016 12:43,afternoon,weekday,0,0,1,0,0,0,1,0,1,0
138,31-10-2016 12:43,afternoon,weekday,0,0,0,1,1,1,0,1,0,1
139,31-10-2016 12:50,afternoon,weekday,1,0,1,0,0,0,0,1,0,0
139,31-10-2016 12:50,afternoon,weekday,0,0,1,0,1,1,1,1,0,1
139,31-10-2016 12:50,afternoon,weekday,1,0,1,0,1,0,1,1,0,1
140,31-10-2016 12:53,afternoon,weekday,1,0,1,1,1,1,0,0,0,0
140,31-10-2016 12:53,afternoon,weekday,0,0,0,1,1,0,1,0,0,0
140,31-10-2016 12:53,afternoon,weekday,1,0,1,0,1,0,1,0,1,0
141,31-10-2016 12:54,afternoon,weekday,1,0,0,0,0,0,0,0,0,0
142,31-10-2016 12:56,afternoon,weekday,1,0,0,0,0,0,1,0,1,0
142,31-10-2016 12:56,afternoon,weekday,1,1,1,1,1,1,1,0,0,0
143,31-10-2016 12:59,afternoon,weekday,0,1,1,0,0,0,0,1,0,1
144,31-10-2016 13:02,afternoon,weekday,0,1,0,0,0,0,1,0,1,0
144,31-10-2016 13:02,afternoon,weekday,1,0,1,1,1,1,0,0,1,1
145,31-10-2016 13:05,afternoon,weekday,1,1,1,1,0,0,1,0,0,0
145,31-10-2016 13:05,afternoon,weekday,1,0,1,0,0,0,0,0,1,0
145,31-10-2016 13:05,afternoon,weekday,0,1,0,1,1,0,0,1,1,1
146,31-10-2016 13:08,afternoon,weekday,1,0,1,0,0,1,0,0,0,1
147,31-10-2016 13:09,afternoon,weekday,0,1,1,1,0,1,0,0,0,0
147,31-10-2016 13:09,afternoon,weekday,1,1,1,1,1,0,0,0,1,0
148,31-10-2016 13:21,afternoon,weekday,0,0,1,0,1,1,0,1,0,0
148,31-10-2016 13:21,afternoon,weekday,1,0,0,1,1,1,0,1,0,0
148,31-10-2016 13:21,afternoon,weekday,1,0,0,1,1,0,0,1,1,1
149,31-10-2016 13:26,afternoon,weekday,1,1,0,0,0,0,0,1,0,0
150,31-10-2016 13:31,afternoon,weekday,1,0,0,0,0,0,1,1,1,0
151,31-10-2016 13:50,afternoon,weekday,1,1,1,0,1,0,1,0,0,1
151,31-10-2016 13:50,afternoon,weekday,1,1,0,1,1,1,0,1,1,1
152,31-10-2016 13:51,afternoon,weekday,0,0,1,0,1,0,0,1,1,0
153,31-10-2016 13:55,afternoon,weekday,1,1,0,1,0,1,1,0,0,1
153,31-10-2016 13:55,afternoon,weekday,0,1,1,1,0,1,1,1,1,0
153,31-10-2016 13:55,afternoon,weekday,1,0,1,1,0,0,0,0,1,0
153,31-10-2016 13:55,afternoon,weekday,1,1,1,1,0,0,0,0,1,0
154,31-10-2016 14:00,afternoon,weekday,1,0,0,0,1,1,1,0,0,0
154,31-10-2016 14:00,afternoon,weekday,1,1,1,1,0,0,0,0,1,0
154,31-10-2016 14:00,afternoon,weekday,0,0,0,0,0,1,0,1,1,1
154,31-10-2016 14:00,afternoon,weekday,0,1,1,0,0,0,1,1,1,0
155,31-10-2016 14:01,afternoon,weekday,0,0,0,0,1,1,1,0,1,1
155,31-10-2016 14:01,afternoon,weekday,0,0,0,0,0,0,1,0,1,0
155,31-10-2016 14:01,afternoon,weekday,0,1,1,1,1,0,0,0,0,0
156,31-10-2016 14:04,afternoon,weekday,1,1,1,1,0,1,1,1,0,0
156,31-10-2016 14:04,afternoon,weekday,1,1,0,0,0,0,0,1,1,1
157,31-10-2016 14:05,afternoon,weekday,1,0,0,1,1,0,1,1,0,1
157,31-10-2016 14:05,afternoon,weekday,0,1,0,1,0,0,1,1,1,1
158,31-10-2016 14:20,afternoon,weekday,0,0,1,1,1,0,1,0,1,0
158,31-10-2016 14:20,afternoon,weekday,0,1,1,1,0,0,1,1,1,1
159,31-10-2016 14:22,afternoon,weekday,1,0,1,0,1,1,0,0,1,1
